City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,bull savanna,17.8868,-77.5902,21.49,74,35,3.52,JM,1738818106
274,leua,48.2156,18.6071,-0.62,70,3,1.52,SK,1738818108
275,gagnoa,6.1293,-5.9437,22.07,99,30,1.66,CI,1738818109
276,aginskoye,51.1,114.53,-19.68,79,73,6.86,RU,1738818110
277,ndola,-12.9587,28.6366,17.49,98,100,3.7,ZM,1738818111
278,uturoa,-16.7333,-151.4333,27.92,74,19,5.38,PF,1738818112
279,nyakahanga,-1.6033,31.1414,16.17,84,97,0.68,TZ,1738818113
280,hithadhoo,-0.6,73.0833,27.46,70,79,3.74,MV,1738818115
281,ambon,-3.6954,128.1814,31.08,70,40,4.12,ID,1738818116
282,morant bay,17.8815,-76.4093,24.16,86,45,6.16,JM,1738818117
283,hualien city,23.9769,121.6044,19.62,75,97,2.37,TW,1738818118
284,kayangel,8.0823,134.7173,28.04,82,93,9.6,PW,1738818119
285,jhulasan,23.3286,72.4731,24.8,14,0,6.79,IN,1738818120
286,souillac,-20.5167,57.5167,30.21,74,75,3.6,MU,1738818121
287,sao raimundo das mangabeiras,-7.0219,-45.4811,25.57,70,98,0.9,BR,1738818123
288,fort bragg,35.139,-79.006,7.04,79,100,3.6,US,1738818124
289,conception bay south,47.4999,-52.9981,-11.16,75,77,8.77,CA,1738818125
290,kailua-kona,19.6406,-155.9956,23.64,79,21,0.45,US,1738818126
291,francistown,-21.17,27.5079,23.58,55,8,3.15,BW,1738818127
292,dalian,38.9122,121.6022,-0.04,27,0,3.0,CN,1738818004
293,hamilton,39.1834,-84.5333,1.53,94,100,1.34,US,1738818129
294,bengkulu,-3.8004,102.2655,28.94,67,50,3.7,ID,1738818130
295,progreso,21.2833,-89.6667,22.81,83,1,4.64,MX,1738818132
296,wynyard,-41.0,145.7167,19.55,70,44,4.47,AU,1738818133
297,knokke-heist,51.3333,3.3333,4.45,79,82,4.05,BE,1738818134
298,kaiapoi,-43.3783,172.6401,19.7,76,75,6.69,NZ,1738818135
299,nelidovo,56.2211,32.7774,-1.9,68,100,1.77,RU,1738818136
300,san rafael,-34.6177,-68.3301,23.01,35,0,1.43,AR,1738818138
301,puiesti,46.4167,27.5,-2.79,78,15,4.67,RO,1738818140
302,imbituba,-28.24,-48.6703,23.95,85,49,5.08,BR,1738818141
303,marcali,46.585,17.412,0.93,72,1,2.91,HU,1738818142
304,holualoa,19.6228,-155.9522,21.57,78,31,0.45,US,1738818143
305,praia da vitoria,38.7333,-27.0667,18.14,82,20,5.08,PT,1738818144
306,raja,8.4596,25.678,21.19,24,99,2.44,SS,1738818145
307,glazunovka,52.4986,36.3275,-5.54,96,7,2.15,RU,1738818146
308,mount isa,-20.7333,139.5,26.87,89,75,2.06,AU,1738818147
309,tarnogskiy gorodok,60.4997,43.5761,-3.94,95,100,1.39,RU,1738818149
310,victorica,-36.2151,-65.4359,20.03,81,0,4.92,AR,1738818150
311,kurchatov,51.6601,35.6521,-2.54,77,100,3.52,RU,1738818151
312,novyy urgal,51.0736,132.5642,-6.11,74,100,6.01,RU,1738818152
313,tharyarwady,17.65,95.8,30.07,35,4,2.79,MM,1738818153
314,wellington,-41.2866,174.7756,17.81,82,100,5.66,NZ,1738817918
315,kone,-21.0595,164.8658,31.12,63,99,3.99,NC,1738818155
316,sitka,57.0531,-135.33,-0.64,78,100,1.62,US,1738818156
317,boa esperanca,-21.09,-45.5658,19.76,86,99,0.66,BR,1738818158
318,notodden,59.5594,9.2585,-5.14,66,5,1.68,NO,1738818159
319,berezovyy,51.6667,135.7,-11.11,92,100,6.03,RU,1738818160
320,kutulik,53.3508,102.7839,-20.39,92,100,1.45,RU,1738818161
321,bogandinskiy,56.8937,65.8938,-10.15,97,99,0.87,RU,1738818162
322,nikolayevsk-on-amure,53.1406,140.73,-3.42,94,100,7.42,RU,1738818163
323,goba,7.0167,39.9833,12.75,21,18,0.28,ET,1738818164
324,wagar,16.1525,36.2032,21.81,77,0,4.85,SD,1738818166
325,bikenibeu village,1.3673,173.1241,28.98,79,75,6.17,KI,1738818167
326,novaya igirma,57.1334,103.9112,-22.42,87,96,2.1,RU,1738818168
327,klyuchi,52.2667,79.1667,-14.34,83,1,5.07,RU,1738818169
328,xinzhi,36.4989,111.7047,2.65,16,85,7.74,CN,1738818170
329,ratnagiri,16.9833,73.3,30.47,26,4,0.81,IN,1738818171
330,lubsko,51.7847,14.972,2.16,91,97,1.61,PL,1738818172
331,dambulla,7.86,80.6517,27.86,59,51,4.33,LK,1738818173
332,las tablas,7.7667,-80.2833,23.99,99,95,6.28,PA,1738818175
333,the pas,53.8251,-101.2541,-15.99,78,100,2.57,CA,1738818176
334,bamboo flat,11.7,92.7167,30.05,66,40,3.6,IN,1738818177
